Mid_Block,Street_Name,From_Street,To_Street,Volume,Yr,Mth
1038,SIXTH AVE,SHARPE ST,SIXTEENTH ST,4748,2008,11
2072,GARFIELD ST,HOULT ST,HOLMES ST,371,2008,11
1003,SPRUCE ST,EDWORTHY WAY,BRUNETTE AVE,3124,2008,11
1377,BEGBIE ST,FRONT ST,EOP,2339,2008,11
1089,SIXTH ST,EIGHTH AVE,TENTH AVE,11085,2009,03
1184,TWENTIETH ST,MEAD ST,SEVENTH AVE,23872,2009,03
1221,MCBRIDE BLVD,COURTNEY CR,E TENTH AVE,33339,2009,03
1277,CUMBERLAND ST,RICKMAN PL,E TENTH AVE,7543,2009,03
1313,RICHMOND ST,CUMBERLAND ST,ALBERTA ST,6321,2009,03
1349,SINCLAIR AVE,FIRST ST,SECOND ST,150,2009,03
1404,BRUNETTE AVE,BRAID ST,EOP,68567,2009,03
1655,THIRTEENTH ST,DUBLIN ST,LONDON ST,376,2009,03
1656,TWELFTH ST,LONDON ST,TENTH AVE,16925,2009,03
2239,LONDON ST,TWENTIETH ST,TWENTY-FIRST ST,343,2009,03
2276,MARINE WAY,TWENTY ST,NINETEETH ST,45689,2009,03
2287,CAMPBELL ST,SALTER ST,EWEN AVE,370,2009,03
2368,PEMBINA ST,SALTER ST,EWEN AVE,699,2009,03
3042,BRAID ST,EOP,TO COQUITLAM,12930,2009,03
1444,HAMILTON ST,SIXTH ST,EIGHTH ST,1712,2009,04
1480,EIGHTH ST,LONDON ST,TENTH AVE,20280,2009,04
1497,TWENTIETH ST,NINTH AVE,TENTH AVE,22741,2009,04
2314,DERWENT WAY,LANE,EWEN AVE,5039,2009,04
1048,THIRTEENTH ST,SEVENTH AVE,HAMILTON ST,637,2009,04
1896,E COLUMBIA ST,NOOTKA ST,HOLMES ST,20778,2009,11
1924,NINTH ST,THIRD AVE,KENNEDY ST,398,2009,11
2212,SIXTH AVE,SIXTEENTH ST,EIGHTEENTH ST,10829,2009,11
1676,ELEVENTH ST,THIRD AVE,OXFORD ST,856,2009,11
1145,E SIXTH AVE,GLENBROOKE DR,CUMBERLAND ST,12915,2009,11
1195,RIVER DR,TWENTIETH ST,TWENTY-FIRST ST,489,2009,11
1421,SEVENTH ST,THIRD AVE,WALMSLEY ST,2164,2009,11
1561,THIRD AVE,ASH ST,EIGHTH ST,1618,2009,11
1667,FIFTH AVE,TWELFTH ST,LOUELLEN ST,2843,2009,11
1825,CHILLIWACK ST,CHURCHILL AVE,E TENTH AVE,874,2009,12
1030,FIFTEENTH ST,LONDON ST,TENTH AVE,675,2009,12
1442,FIFTH ST,EIGHTH AVE,TENTH AVE,536,2009,12
1709,TENTH ST,LONDON ST,TENTH AVE,1077,2009,12
1998,AGNES ST,FIRST ST,WINDSOR ST,766,2009,12
2175,NINETEENTH ST,LONDON ST,TENTH AVE,455,2009,12
2429,FOURTH ST,BLACKMAN ST,TENTH AVE,630,2009,12
2534,SECOND ST,BLACKMAN ST,TENTH AVE,984,2009,12
1366,ROYAL AVE,FIRST ST,WINDSOR ST,15976,2009,12
1571,SEVENTH AVE,FIRST ST,SECOND ST,901,2009,12
1873,RICHMOND ST,KENT ST,LEE ST,623,2009,12
2108,TENTH AVE,MCBRIDE BLVD,SECOND ST,36375,2009,12
2351,BOYD ST,GIFFORD ST,BOUNDARY RD,9720,2009,12
2516,SIXTH AVE,FIRST ST,SECOND ST,12639,2009,12
2529,EIGHTH AVE,FIRST ST,SECOND ST,19918,2009,12
1394,FRONT ST,FOURTH ST,E COLUMBIA ST,17420,2009,12
1360,SECOND ST,SIXTH AVE,REGINA,2433,2010,01
2506,FOURTH AVE,ARBUTUS ST,SECOND ST,718,2010,01
1053,LONDON ST,TWELFTH ST,THIRTEENTH ST,468,2010,03
1498,EWEN AVE,LAWRENCE ST,HOWES ST,6670,2010,03
1862,E COLUMBIA ST,SHERBROOKE ST,WARD ST,12554,2010,03
2036,SIXTH ST,QUEENS AVE,LIVERPOOL ST,12437,2010,03
1735,FOURTH AVE,EIGHTH ST,NINTH ST,3417,2010,04
1920,FIFTH AVE,EIGHTH ST,NINTH ST,1978,2010,04
2046,ASH ST,WALMSLEY ST,FOURTH AVE,468,2010,04
2048,ASH ST,FOURTH AVE,PRESCOTT ST,637,2010,04
1560,EIGHTH ST,THIRD AVE,KENNEDY ST,11612,2010,06
1641,THIRD AVE,TWELFTH ST,STEWARDSON WAY,3688,2010,06
1726,TENTH ST,QUEENS AVE,THIRD AVE,3487,2010,06
2055,SEVENTH ST,QUEENS AVE,WELSH ST,2401,2010,06
1445,SEVENTH AVE,SIXTH ST,EIGHTH ST,2278,2010,06
1074,ROYAL AVE,TENTH ST,ELEVENTH ST,19233,2010,09
1381,QUAYSIDE DR,LAGUAN CRT,RELIANCE CRT,3089,2010,09
1412,SIXTH AVE,EIGHTH ST,NINTH ST,12323,2010,09
1447,SIXTH ST,BELMONT ST,SIXTH AVE,9807,2010,09
1816,E EIGHTH AVE,CHILLIWACK ST,DEVOY ST,18962,2010,09
1878,SURREY ST,LANE,E TENTH AVE,229,2010,09
2356,DUNCAN ST,MERCER ST,BOYD ST,1544,2010,09
2369,WOOD ST,SALTER ST,EWEN AVE,284,2010,09
2409,SIXTH ST,BLACKFORD ST,FOURTH AVE,10798,2010,09
2512,FIRST ST,REGINA ST,SIXTH AVE,2617,2010,09
2498,FIRST ST,EMORY ST,FOURTH AVE,2506,2010,10
1161,KEARY ST,RICMOND ST,E COLUMBIA ST,1430,2011,04
1172,GARFIELD ST,HOULT ST,WINTHROP ST,341,2011,04
1323,GLENBROOK DRIVE,BETH ST,CUMBERLAND STREET,196,2011,04
1346,RICHMOND ST,CUMBERLAND ST,MINER ST,2318,2011,04
1867,EAST COLUMBIA STREET,MAJOR STREET,WARD STREET,12774,2011,04
1890,BRAID STREET,E 8TH AVENUE,MCDONALD STREET,536,2011,04
2202,8TH AVE,18TH STREET,17TH STREET,7535,2011,04
1519,STAR CRESCENT,FURNESS STREET,COMMUNITY GARDEN,640,2011,04
2113,10TH AVENUE,12TH STREET,8TH STREET,22402,2011,10
2395,PARK CRESCENT,7TH AVE,SMOKEY SMITH PL,1519,2011,10
2489,2ND ST,REGINA ST,5TH ST,2350,2011,10
1850,ROUSSEAU ST,BRAID ST,MAJOR ST,1396,2011,10
1225,EAST 8TH AVENUE ,MCBRIDE BLVD,CUMBERLAND STREET,19719,2011,10
1314,SIMPSON ST,RICMOND ST,E COLUMBIA ST,508,2011,10
1333,GOVERNORS COURT,MINER ST,THE END OF THE ROAD,456,2011,10
1445,7TH AVENUE,6TH ST,8TH ST,2013,2011,10
1701,HENLEY STREET,10TH AVENUE,LONDON STREET,979,2011,10
1781,EAST DURHAM ST,CUMBERLAND ST,YORK ST,350,2011,10
1784,ALBERTA ST,MINER ST,E COLUMBIA ST,743,2011,10
1794,YORK ST,E 8TH AVE,E DURHAM ST,229,2011,10
2084,MCBRIDE BLVD.,MEMORIAL DR.,EAST ROYAL AVENUE,39781,2012,10
2238,LONDON STREET,20TH STREET,19TH STREET,343,2012,10
2241,WOOD STREET,BOYD STREET,RENNIE PL.,505,2012,10
2377,CARTER STREET,SALTER STREET,SOUTH DYKE ROAD,223,2012,10
1039,6TH AVENUE,SHARPE STREET,14TH STREET,10743,2012,10
1139,ROYAL AVENUE,1ST STREET,COBURG STREET,32716,2012,10
1258,COLUMBIA STREET,ELLIOT STREET,MCBRIDE BLVD.,20553,2012,10
1854,GARRETT STREET,BRAID STREET,MAJOR STREET,397,2012,10
1863,SHERBROOKE STREET,BUCHANAN AVENUE,EAST COLUMBIA STREET,2709,2012,10
1396,EAST COLUMBIA STREET,MCBRIDE BLVD.,FRONT STREET,46440,2012,11
1405,BRAID STREET,ROUSSEAU STREET,BRUNETTE AVENUE,23285,2012,11
1915,BRUNETTE AVENUE,BRAID STREET,ROUSSEAU STREET,44355,2012,11
1709,10TH STREET,10TH AVENUE,LONDON STREET,774,2013,01
2046,ASH STREET,4TH AVENUE,WALMSLEY STREET,521,2013,05
2055,7TH STREET,WELSH STREET,QUEENS AVENUE,2078,2013,05
2409,6TH STREET,4TH AVENUE,BLACKFORD STREET,10203,2013,05
1684,3RD AVENUE,MOWAT STREET,10TH STREET,994,2013,05
1001,EAST COLUMBIA STREET,SIMPSON STREET,ALBERTA STREET,12007,2013,05
1048,13TH STREET,HAMILTON STREET,7TH AVENUE,557,2013,05
1084,6TH STREET,PRINCESS STREET,6TH AVENUE,10085,2013,05
1374,8TH STREET,ROYAL AVENUE,AGNES STREET,7328,2013,05
1412,6TH AVENUE,9TH STREET,8TH STREET,12115,2013,05
1421,7TH STREET,WALMSLEY STREET,3RD AVENUE,2188,2013,05
1641,3RD AVENUE,STEWARDSON WAY,12TH STREET,4764,2013,05
2538,BLACKMAN STREET,4TH STREET,2ND STREET,259,2013,05
1726,10TH STREET,3RD AVENUE,QUEENS AVENUE,3500,2013,05
1735,4TH AVENUE,9TH STREET,8TH STREET,3468,2013,05
1749,EWEN AVENUE,CAMPBELL STREET,WOOD STREET,5090,2013,05
1784,ALBERTA STREET,MINER STREET,EAST COLUMBIA STREET,1076,2013,05
1866,BUCHANAN AVENUE,CEDER STREET,WARD STREET,509,2013,05
1880,LADNER STREET,10TH AVENUE,RICHMOND STREET,341,2013,05
1920,5TH AVENUE,9TH STREET,8TH STREET,1934,2013,05
1943,QUEENS AVENUE,9TH STREET,8TH STREET,2234,2013,05
1951,13TH STREET,CAMERON STREET,KAMLOOPS STREET,213,2013,05
1978,CARNORVON STREET,BEGBIE STREET,LORNE STREET,6141,2013,05
1396,EAST COLUMBIA STREET,MCBRIDE BLVD.,FRONT STREET,39718,2013,06
1161,KEARY STREET,RICHMOND STREET,EAST COLUMBIA STREET,1628,2013,10
1444,HAMILTON STREET,8TH STREET,6TH STREET,1598,2013,10
1579,4TH STREET,SANDRINGHAM AVENUE,OSBORNE AVENUE,87,2013,10
1598,EDINBURGH STREET,21ST STREET,20TH STREET,157,2013,10
1599,DUBLIN STREET,21ST STREET,20TH STREET,199,2013,10
1918,FRONT STREET (MAIN ROAD),6TH STREET,4TH STREET,10500,2013,10
2239,LONDON STREET,21ST STREET,20TH STREET,533,2013,10
2415,5TH STREET,5TH AVENUE,4TH AVENUE,1270,2013,10
2463,4TH AVENUE,3RD STREET,OLIVER STREET,1603,2013,10
3023,FRANCIS WAY,MEMORIAL DR.,EAST ROYAL AVENUE,873,2013,10
3025,ROSS DR.,MEMORIAL DR.,EAST ROYAL AVENUE,1861,2013,10
3038,QUEENSBOROUGH BRIDGE,MOTI,,89437,2013,10
1586,12TH STREET,3RD AVENUE,QUEENS AVENUE,6932,2013,11
2094,10TH AVENUE,16TH STREET,15TH STREET,16509,2013,11
2170,8TH AVENUE,BOWLER STREET,19TH STREET,7934,2013,11
1440,8TH AVENUE,5TH STREET,4TH STREET,15367,2014,02
2263,QUAYSIDE DR.,FRASER RIVER DISCOVERY CENTER,BEGBIE STREEET,1421,2014,02
2380,PATTULLO BRIDGE,TRANSLINK,,78632,2014,02
1294,CANFOR AVENUE,CAPILANO WAY,BRAID STREET,2255,2014,03
1845,BRAID STREET,VULCAN STREET,CANFOR AVENUE,3733,2014,03
2036,6TH STREET,LIVERPOOL STREET,QUEENS AVENUE,10198,2014,06
2061,EAST 10TH AVENUE,BURNABY STREET,SURREY STREET,17119,2014,06
1510,SALTER STREET,GIFFORD STREET,JARDINE STREET,1086,2014,11
1694,11TH STREET,6TH AVENUE,5TH AVENUE,964,2014,11
2022,CUNNINGHAM STREET,4TH STREET,MERIVALE STREET,234,2014,11
2051,5TH AVENUE,8TH STREET,ASH STREET,2854,2014,11
2106,MCBRIDE BLVD.,BLACKBERRY DR.,MEMORIAL DR.,44800,2015,
2118,STEWARD WAY,RIVER DR.,5TH AVENUE,44000,2015,
1576,ROYAL AVENUE,3RD STREET,PEELE STREET,29600,2015,
1916,BRUNETTE AVENUE,SHERBROOKE STREET,ROUSSEAU STREET,41700,2015,
1159,STRAND STREET,MINER STREET,EAST COLUMBIA STREET,259,2015,02
1161,KEARY STREET,RICHMOND STREET,EAST COLUMBIA STREET,1620,2015,02
1259,COLUMBIA STREET,6TH STREET,4TH STREET,17467,2015,02
1314,SIMPSON STREET,RICHMOND STREET,EAST COLUMBIA STREET,414,2015,02
1393,FRONT STREET (MAIN ROAD),6TH STREET,4TH STREET,10052,2015,02
1775,DEBACK STREET,MINER STREET,SHAPER STREET,244,2015,02
1783,MINER STREET,ALBERTA STREET,STRAND AVENUE,484,2015,02
1784,ALBERTA STREET,MINER STREET,EAST COLUMBIA STREET,1155,2015,02
1785,ALBERTA STREET,RICHMOND STREET,MINER STREET,904,2015,02
1204,5TH AVENUE,RIVER DR.,16TH STREET,719,2015,04
1294,CANFOR AVENUE,BRAID STREET,CAPILANO WAY,3358,2015,04
1845,BRAID STREET,VULCAN STREET,CANFOR AVENUE,5370,2015,04
3042,BRAID STREET,CANFOR AVENUE,BAILEY BRIDGE,5351,2015,04
1034,8TH AVENUE,16TH STREET,15TH STREET,8812,2015,06
1085,6TH AVENUE,6TH STREET,5TH STREET,7436,2015,06
1132,1ST STREET,PARK ROW,ROYAL AVENUE,1881,2015,06
1159,STRAND STREET,MINER STREET,EAST COLUMBIA STREET,298,2015,06
1161,KEARY STREET,RICHMOND STREET,EAST COLUMBIA STREET,1584,2015,06
1228,8TH AVENUE,1ST STREET,COLBORNE STREET,17432,2015,06
1294,CANFOR AVENUE,BRAID STREET,CAPILANO WAY,3485,2015,06
1314,SIMPSON STREET,RICHMOND STREET,EAST COLUMBIA STREET,557,2015,06
1572,1ST STREET,DURHAM STREET,7TH AVENUE,1081,2015,06
1682,MOWAT STREET,3RD AVENUE,QUEENS AVENUE,264,2015,06
1775,DEBACK STREET,MINER STREET,SHAPER STREET,192,2015,06
1783,MINER STREET,ALBERTA STREET,STRAND AVENUE,381,2015,06
1784,ALBERTA STREET,MINER STREET,EAST COLUMBIA STREET,651,2015,06
1785,ALBERTA STREET,RICHMOND STREET,MINER STREET,489,2015,06
1845,BRAID STREET,VULCAN STREET,CANFOR AVENUE,6177,2015,06
2090,6TH AVENUE,1ST STREET,COLBORNE STREET,12700,2015,06
2113,10TH AVENUE,HENLEY STREET,10TH STREET,24585,2015,06
2498,1ST STREET,4TH AVENUE,EMORY STREET,2270,2015,06
2512,1ST STREET,6TH AVENUE,REGINA STREET,2663,2015,06
3042,BRAID STREET,CANFOR AVENUE,BAILEY BRIDGE,6817,2015,06
1161,KEARY STREET,RICHMOND STREET,EAST COLUMBIA STREET,1951,2015,09
1314,SIMPSON STREET,RICHMOND STREET,EAST COLUMBIA STREET,374,2015,09
1784,ALBERTA STREET,MINER STREET,EAST COLUMBIA STREET,591,2015,09
1113,MERIVALE STREET,ROYAL AVENUE,AGNES STREET,345,2015,10
1785,ALBERTA STREET,RICHMOND STREET,MINER STREET,666,2015,10
1997,AGNES STREET,ELLIOT STREET,1ST STREET,2122,2015,10
2000,CUNNINGHAM STREET,ELLIOT STREET,WINDSOR STREET,45,2015,10
2003,AGNES STREET,MERIVALE  STREET,ELLIOT STREET,2013,2015,10
2021,AGNES STREET,BLACKWOOD STREET,MERIVALE STREET,2034,2015,10
1131,1ST STREET,ROYAL AVENUE,AGNES STREET,1537,2015,12
1244,BLACKBERRY DR.,QUEENS PARK CARE,EOP,241,2015,12
3026,MEMORIAL DR.,MCBRIDE BLVD.,ROSS DR.,2695,2015,12
1259,COLUMBIA STREET,CHURCH STREET,4TH STREET,15794,2016,02
1066,5TH AVENUE,10TH STREET,9TH STREET,1684,2016,04
1117,2ND STREET,QUEENS AVENUE,ROYAL AVENUE,733,2016,04
1120,OVENS AVENUE,2ND STREET,1ST STREET,408,2016,04
1132,1ST STREET,QUEENS AVENUE,ROYAL AVENUE,1839,2016,04
1146,CUMBERLAND STREET,EAST 6TH AVENUE,BETH STREET,9207,2016,04
1259,COLUMBIA STREET,CHURCH STREET,4TH STREET,12342,2016,04
1263,GLOVER AVENUE,2ND STREET,1ST STREET,370,2016,04
1464,3RD STREET,QUEENS AVENUE,ROYAL AVENUE,1660,2016,04
1508,BOYD STREET (FRONTAGE ROAD),PEMBINA STREET,FENTON STREET,433,2016,04
1688,4TH AVENUE,11TH STREET,10TH STREET,2219,2016,04
1708,LONDON STREET,HENLEY STREET,10TH STREET,557,2016,04
1920,5TH AVENUE,9TH STREET,8TH STREET,1895,2016,04
2020,CUNNINGHAM STREET,6TH STREET,4TH STREET,662,2016,04
2314,DERWENT WAY,EWEN AVENUE,SALTER STREET,4697,2016,04
2447,QUEENS AVENUE,4TH STREET,3RD STREET,488,2016,04
1179,EAST COLUMBIA STREET,ALBERTA STREET,STRAND STREET,23060,2016,05
1743,BOYD STREET (MAIN ROAD),PEMBINA STREET,FENTON STREET,9329,2016,05
2180,HAMILTON STREET,19TH STREET,18TH STREET,159,2016,05
1639,4TH AVENUE,LOUELLEN STREET,11TH STREET,2498,2016,06
2009,4TH STREET,VICTORIA STREET,CARNARVON STREET,3537,2016,06
2018,CARNARVON STREET,6TH STREET,4TH STREET,4595,2016,06
2178,EDINBURGH STREET,19TH STREET,18TH STREET,291,2016,06
2200,EDINBURGH STREET,17TH STREET,16TH STREET,306,2016,06
